size,munkers_with_backtracking_time,fairxpy_many_to_many_matching_time,backtrack_total_cost,faipyx_total_cost
5.0,0.0038127899169921875,0.0015010833740234375,40.0,40.0
10.0,0.09982991218566895,0.0029261112213134766,514.0,535.0
15.0,0.1015770435333252,0.0252838134765625,121.0,121.0
20.0,0.0660851001739502,0.011524677276611328,332.0,332.0
25.0,0.07996892929077148,0.016144752502441406,365.0,365.0
30.0,0.10874605178833008,0.019543886184692383,255.0,258.0
35.0,0.1885828971862793,0.02668905258178711,173.0,173.0
40.0,0.2795898914337158,0.0359039306640625,192.0,194.0
45.0,0.30355000495910645,0.04300522804260254,168.0,168.0
50.0,0.22985506057739258,0.07554101943969727,495.0,496.0
60.0,0.3229389190673828,0.12480497360229492,419.0,419.0
70.0,0.33554506301879883,0.17662596702575684,476.0,477.0
80.0,0.5285601615905762,0.2536139488220215,433.0,434.0
90.0,2.3187642097473145,0.26239705085754395,214.0,215.0
100.0,0.8641691207885742,0.4218113422393799,466.0,467.0
200.0,2.358185052871704,2.579970121383667,688.0,695.0
300.0,6.5999228954315186,8.095546245574951,749.0,755.0
400.0,42.05374097824097,12.058746099472046,439.0,439.0
450.0,22.954689025878906,24.73439884185791,993.0,996.0
500.0,86.4055027961731,21.818143844604492,513.0,513.0
600.0,62.99516487121582,55.802382946014404,1246.0,1247.0
700.0,284.89892983436584,50.9501531124115,713.0,713.0
