size,munkers_with_backtracking_time,fairxpy_many_to_many_matching_time,backtrack_total_cost,faipyx_total_cost
5.0,0.024934053421020508,0.0018579959869384766,297.0,297.0
10.0,0.09308600425720215,0.0031538009643554688,117.0,119.0
15.0,0.2498328685760498,0.02535390853881836,85.0,85.0
20.0,0.05344104766845703,0.010888814926147461,388.0,388.0
25.0,0.07278990745544434,0.01636505126953125,395.0,393.0
30.0,0.11111283302307129,0.025300025939941406,402.0,414.0
35.0,0.13991808891296387,0.03459978103637695,416.0,416.0
40.0,0.2149219512939453,0.03830409049987793,150.0,151.0
45.0,0.31168413162231445,0.04525279998779297,178.0,178.0
50.0,0.29392170906066895,0.08279609680175781,371.0,372.0
60.0,0.5498769283294678,0.09579086303710938,193.0,194.0
70.0,0.44777989387512207,0.1718292236328125,522.0,523.0
80.0,0.9687919616699219,0.1895749568939209,218.0,218.0
90.0,1.6899700164794922,0.2930271625518799,170.0,171.0
100.0,0.7992379665374756,0.3901989459991455,582.0,588.0
200.0,4.043236017227173,2.0314011573791504,273.0,274.0
300.0,14.80111289024353,5.875600099563599,343.0,343.0
400.0,13.012850046157837,17.951781749725342,965.0,970.0
